year,tipo_de_gasto,values
2018,gasto_de_capital_diferente_de_obra_publica,239.68
2018,gasto_de_inversion_por_concepto_de_gastos_indirectos_de_programas_de_subsidios,0.37
2018,gasto_de_inversion_por_concepto_de_recursos_otorgados_a_fideicomisos_publicos_no_considerados_entidad_paraestatal_cuyo_proposito_financiero_se_,3.49
2018,gasto_de_obra_publica,400.35
2018,participaciones,809.44
2018,pensiones_y_jubilaciones,1269.02
2019,gasto_corriente,3532.82
2019,gasto_corriente_por_concepto_de_gastos_indirectos_de_programas_de_subsidios,6.57
2019,gasto_corriente_por_concepto_de_recursos_otorgados_a_fideicomisos_publicos_no_considerados_entidad_paraestatal_cuyo_proposito_financiero_se_,13.32
2019,gasto_de_capital_diferente_de_obra_publica,223.14
2019,gasto_de_inversion_por_concepto_de_gastos_indirectos_de_programas_de_subsidios,0.08
2019,gasto_de_inversion_por_concepto_de_recursos_otorgados_a_fideicomisos_publicos_no_considerados_entidad_paraestatal_cuyo_proposito_financiero_se_,3.71
2019,gasto_de_obra_publica,488.70
2019,participaciones,917.21
2019,pensiones_y_jubilaciones,1412.29
2020,gasto_corriente,3665.74
2020,gasto_corriente_por_concepto_de_gastos_indirectos_de_programas_de_subsidios,4.76
2020,gasto_corriente_por_concepto_de_recursos_otorgados_a_fideicomisos_publicos_no_considerados_entidad_paraestatal_cuyo_proposito_financiero_se_,14.12
2020,gasto_de_capital_diferente_de_obra_publica,293.19
2020,gasto_de_inversion_por_concepto_de_recursos_otorgados_a_fideicomisos_publicos_no_considerados_entidad_paraestatal_cuyo_proposito_financiero_se_,3.71
2020,gasto_de_obra_publica,464.69
2020,participaciones,948.75
2020,pensiones_y_jubilaciones,1558.78
2021,gasto_corriente,3726.21
2021,gasto_corriente_por_concepto_de_gastos_indirectos_de_programas_de_subsidios,4.42
2021,gasto_corriente_por_concepto_de_recursos_otorgados_a_fideicomisos_publicos_no_considerados_entidad_paraestatal_cuyo_proposito_financiero_se_,12.92
2021,gasto_de_capital_diferente_de_obra_publica,300.06
2021,gasto_de_inversion_por_concepto_de_recursos_otorgados_a_fideicomisos_publicos_no_considerados_entidad_paraestatal_cuyo_proposito_financiero_se_,3.82
2021,gasto_de_obra_publica,524.97
2021,participaciones,918.61
2021,pensiones_y_jubilaciones,1739.88
2022,gasto_corriente,4168.90
2022,gasto_corriente_por_concepto_de_gastos_indirectos_de_programas_de_subsidios,4.95
2022,gasto_corriente_por_concepto_de_recursos_otorgados_a_fideicomisos_publicos_no_considerados_entidad_paraestatal_cuyo_proposito_financiero_se_,13.41
2022,gasto_de_capital_diferente_de_obra_publica,317.12
2022,gasto_de_inversion_por_concepto_de_recursos_otorgados_a_fideicomisos_publicos_no_considerados_entidad_paraestatal_cuyo_proposito_financiero_se_,3.96
2022,gasto_de_obra_publica,660.01
2022,participaciones,1016.53
2022,pensiones_y_jubilaciones,1926.84
2023,gasto_corriente,4818.44
2023,gasto_corriente_por_concepto_de_gastos_indirectos_de_programas_de_subsidios,22.22
2023,gasto_corriente_por_concepto_de_recursos_otorgados_a_fideicomisos_publicos_no_considerados_entidad_paraestatal_cuyo_proposito_financiero_se_,14.16
2023,gasto_de_capital_diferente_de_obra_publica,362.00
2023,gasto_de_inversion_por_concepto_de_recursos_otorgados_a_fideicomisos_publicos_no_considerados_entidad_paraestatal_cuyo_proposito_financiero_se_,4.18
2023,gasto_de_obra_publica,823.61
2023,participaciones,1217.07
2023,pensiones_y_jubilaciones,2204.16
2024,gasto_corriente,5492.15
2024,gasto_corriente_por_concepto_de_gastos_indirectos_de_programas_de_subsidios,23.30
2024,gasto_corriente_por_concepto_de_recursos_otorgados_a_fideicomisos_publicos_no_considerados_entidad_paraestatal_cuyo_proposito_financiero_se_,11.02
2024,gasto_de_capital_diferente_de_obra_publica,475.32
2024,gasto_de_inversion_por_concepto_de_recursos_otorgados_a_fideicomisos_publicos_no_considerados_entidad_paraestatal_cuyo_proposito_financiero_se_,2.44
2024,gasto_de_obra_publica,634.58
2024,participaciones,1259.43
2024,pensiones_y_jubilaciones,2508.45
